prediction,name
0,nonAMP2555
1,AMP527
0,nonAMP402
0,nonAMP3181
1,AMP2514
1,AMP1108
1,nonAMP2124
0,nonAMP2549
1,AMP3188
1,AMP250
1,AMP1951
1,AMP2498
0,nonAMP2683
1,AMP2617
1,AMP578
0,nonAMP529
0,nonAMP2011
1,AMP1154
0,nonAMP2087
1,nonAMP1889
0,nonAMP1046
1,AMP743
1,AMP3252
1,AMP2132
1,AMP1958
0,nonAMP2807
0,nonAMP3103
0,nonAMP3074
0,nonAMP1195
0,nonAMP2271
0,nonAMP962
0,nonAMP907
1,AMP2526
1,AMP2347
0,nonAMP3238
0,nonAMP1861
1,AMP3190
0,nonAMP1980
1,AMP2939
0,nonAMP1129
0,nonAMP1787
0,nonAMP936
0,nonAMP1682
0,nonAMP2676
0,nonAMP2668
1,AMP600
1,AMP458
0,nonAMP1973
0,nonAMP1306
1,AMP524
1,AMP1805
0,nonAMP2218
1,AMP960
0,nonAMP759
0,nonAMP3162
1,AMP900
1,AMP1711
1,AMP2327
0,nonAMP617
1,AMP2365
1,nonAMP866
0,nonAMP1371
1,AMP1919
0,nonAMP834
1,AMP1387
1,AMP2751
1,nonAMP960
0,nonAMP86
1,AMP141
1,AMP2972
0,nonAMP2389
1,AMP2
1,AMP238
1,AMP2857
0,nonAMP560
0,nonAMP431
1,AMP470
1,AMP3107
0,nonAMP628
1,AMP339
1,AMP1516
0,nonAMP2081
0,nonAMP1648
0,nonAMP198
0,nonAMP1740
1,AMP2458
0,nonAMP76
0,nonAMP853
1,AMP1985
0,nonAMP3159
1,AMP982
0,nonAMP577
1,nonAMP3158
1,AMP27
0,nonAMP2348
0,nonAMP2433
0,nonAMP99
0,nonAMP2026
1,AMP2441
1,AMP1970
1,AMP1469
1,AMP877
0,nonAMP2834
1,AMP1944
1,AMP884
0,nonAMP2915
0,nonAMP2675
0,nonAMP1036
0,nonAMP3149
0,nonAMP1018
1,AMP2470
0,nonAMP2482
1,AMP2164
0,nonAMP401
1,AMP1486
0,nonAMP307
1,AMP1920
1,AMP234
1,AMP3212
0,nonAMP539
0,nonAMP1960
0,nonAMP1848
1,nonAMP964
0,nonAMP1610
1,AMP386
0,nonAMP2969
1,nonAMP1332
0,nonAMP982
0,nonAMP100
1,AMP769
1,AMP887
0,nonAMP2766
1,AMP2493
0,nonAMP2378
0,nonAMP2235
0,nonAMP1507
0,nonAMP2083
1,AMP2511
1,AMP2647
1,AMP2234
1,AMP1224
1,AMP999
1,AMP2472
0,nonAMP1175
1,AMP1112
1,AMP720
0,nonAMP1661
0,nonAMP594
0,nonAMP493
0,nonAMP1803
1,AMP106
0,nonAMP3098
1,AMP1482
0,nonAMP2387
0,nonAMP24
1,AMP3031
0,nonAMP783
1,AMP2548
1,AMP1383
1,AMP580
0,nonAMP1502
1,AMP453
1,AMP2402
0,nonAMP2699
0,nonAMP1797
0,nonAMP26
1,AMP1991
0,nonAMP1944
1,AMP51
1,AMP31
0,nonAMP1738
1,AMP815
