ID	length	range
nonAMP122021	228	>200
nonAMP86767	245	>200
nonAMP117409	253	>200
nonAMP115056	227	>200
nonAMP135561	231	>200
nonAMP119174	215	>200
nonAMP46828	204	>200
nonAMP39516	211	>200
nonAMP115367	224	>200
nonAMP71371	208	>200
nonAMP161586	217	>200
nonAMP75649	235	>200
nonAMP43619	249	>200
nonAMP117774	208	>200
nonAMP35938	237	>200
nonAMP43011	248	>200
nonAMP141568	240	>200
nonAMP76267	243	>200
nonAMP36919	220	>200
nonAMP145355	254	>200
nonAMP34254	219	>200
nonAMP12121	229	>200
nonAMP73841	225	>200
nonAMP127074	213	>200
nonAMP104936	223	>200
nonAMP125441	209	>200
nonAMP117685	227	>200
nonAMP105498	231	>200
nonAMP151426	227	>200
nonAMP58340	201	>200
nonAMP43649	209	>200
nonAMP13194	225	>200
nonAMP19869	250	>200
nonAMP12643	231	>200
nonAMP147748	205	>200
nonAMP86719	223	>200
nonAMP146759	229	>200
nonAMP60048	207	>200
nonAMP97792	201	>200
nonAMP51117	208	>200
nonAMP41848	205	>200
nonAMP59184	239	>200
nonAMP39570	212	>200
nonAMP14774	245	>200
nonAMP28457	238	>200
nonAMP117568	254	>200
nonAMP154265	244	>200
nonAMP128624	221	>200
nonAMP79578	242	>200
nonAMP18319	202	>200
nonAMP63861	230	>200
nonAMP99959	219	>200
nonAMP48758	242	>200
nonAMP42104	229	>200
nonAMP85711	207	>200
nonAMP36634	247	>200
nonAMP74718	241	>200
nonAMP1203	252	>200
nonAMP94140	208	>200
nonAMP119642	217	>200
nonAMP121737	231	>200
nonAMP106046	220	>200
nonAMP145727	203	>200
nonAMP94955	213	>200
nonAMP41157	223	>200
nonAMP112990	239	>200
nonAMP36618	207	>200
nonAMP161611	231	>200
nonAMP131118	225	>200
nonAMP166551	247	>200
nonAMP61192	230	>200
nonAMP78636	222	>200
nonAMP79211	244	>200
nonAMP125701	226	>200
nonAMP15425	241	>200
nonAMP144430	214	>200
nonAMP115318	236	>200
nonAMP117169	230	>200
nonAMP31460	230	>200
nonAMP146344	207	>200
nonAMP106415	203	>200
nonAMP44538	210	>200
nonAMP16961	211	>200
nonAMP43014	245	>200
nonAMP38178	227	>200
nonAMP49486	254	>200
nonAMP135811	204	>200
nonAMP58281	213	>200
nonAMP153998	216	>200
nonAMP22701	213	>200
nonAMP16904	226	>200
nonAMP76524	218	>200
nonAMP27335	201	>200
nonAMP38255	227	>200
nonAMP153876	216	>200
nonAMP151674	217	>200
nonAMP103792	230	>200
nonAMP92216	253	>200
nonAMP146409	202	>200
nonAMP21166	201	>200
nonAMP71510	224	>200
nonAMP61493	30	0-50
nonAMP12580	38	0-50
nonAMP149518	26	0-50
nonAMP43389	12	0-50
nonAMP145034	43	0-50
nonAMP68701	38	0-50
nonAMP50819	26	0-50
nonAMP86042	37	0-50
nonAMP3199	45	0-50
nonAMP59084	49	0-50
nonAMP110538	24	0-50
nonAMP135459	44	0-50
nonAMP115750	46	0-50
nonAMP54141	11	0-50
nonAMP86607	6	0-50
nonAMP46506	23	0-50
nonAMP118665	48	0-50
nonAMP138999	37	0-50
nonAMP145266	49	0-50
nonAMP117988	37	0-50
nonAMP126806	49	0-50
nonAMP24573	44	0-50
nonAMP2758	45	0-50
nonAMP14461	15	0-50
nonAMP160876	32	0-50
nonAMP132301	24	0-50
nonAMP22974	47	0-50
nonAMP56140	26	0-50
nonAMP79539	39	0-50
nonAMP140777	50	0-50
nonAMP43138	21	0-50
nonAMP81749	35	0-50
nonAMP35389	38	0-50
nonAMP92805	47	0-50
nonAMP64236	19	0-50
nonAMP58255	9	0-50
nonAMP1156	32	0-50
nonAMP18105	23	0-50
nonAMP65023	28	0-50
nonAMP59903	9	0-50
nonAMP115850	8	0-50
nonAMP25528	34	0-50
nonAMP53252	24	0-50
nonAMP33985	34	0-50
nonAMP16273	30	0-50
nonAMP153752	15	0-50
nonAMP78074	17	0-50
nonAMP149876	18	0-50
nonAMP80443	11	0-50
nonAMP75930	37	0-50
nonAMP33580	20	0-50
nonAMP143618	33	0-50
nonAMP84995	14	0-50
nonAMP159912	35	0-50
nonAMP112087	37	0-50
nonAMP66126	31	0-50
nonAMP157930	31	0-50
nonAMP161274	35	0-50
nonAMP45645	44	0-50
nonAMP20899	44	0-50
nonAMP84443	36	0-50
nonAMP15938	21	0-50
nonAMP136101	44	0-50
nonAMP93204	19	0-50
nonAMP125598	47	0-50
nonAMP24701	11	0-50
