ID	length	range
nonAMP0	246	>200
nonAMP1	103	101-150
nonAMP2	219	>200
nonAMP3	169	151-200
nonAMP4	134	101-150
nonAMP5	111	101-150
nonAMP6	90	51-100
nonAMP7	215	>200
nonAMP8	194	151-200
nonAMP9	151	151-200
nonAMP10	191	151-200
nonAMP11	185	151-200
nonAMP12	109	101-150
nonAMP13	146	101-150
nonAMP14	137	101-150
nonAMP15	125	101-150
nonAMP16	153	151-200
nonAMP17	232	>200
nonAMP18	57	51-100
nonAMP19	172	151-200
nonAMP20	80	51-100
nonAMP21	190	151-200
nonAMP22	204	>200
nonAMP23	98	51-100
nonAMP24	125	101-150
nonAMP25	253	>200
nonAMP26	130	101-150
nonAMP27	120	101-150
nonAMP28	188	151-200
nonAMP29	180	151-200
nonAMP30	161	151-200
nonAMP31	98	51-100
nonAMP32	103	101-150
nonAMP33	232	>200
nonAMP34	150	101-150
nonAMP35	240	>200
nonAMP36	130	101-150
nonAMP37	157	151-200
nonAMP38	98	51-100
nonAMP39	206	>200
nonAMP40	208	>200
nonAMP41	131	101-150
nonAMP42	160	151-200
nonAMP43	184	151-200
nonAMP44	222	>200
nonAMP45	189	151-200
nonAMP46	211	>200
nonAMP47	156	151-200
nonAMP48	118	101-150
nonAMP49	153	151-200
nonAMP50	80	51-100
nonAMP51	171	151-200
nonAMP52	243	>200
nonAMP53	101	101-150
nonAMP54	154	151-200
nonAMP55	244	>200
nonAMP56	250	>200
nonAMP57	239	>200
nonAMP58	242	>200
nonAMP59	167	151-200
nonAMP60	181	151-200
nonAMP61	118	101-150
nonAMP62	154	151-200
nonAMP63	160	151-200
nonAMP64	212	>200
nonAMP65	64	51-100
nonAMP66	189	151-200
nonAMP67	90	51-100
nonAMP68	58	51-100
nonAMP69	53	51-100
nonAMP70	210	>200
nonAMP71	187	151-200
nonAMP72	138	101-150
nonAMP73	198	151-200
nonAMP74	214	>200
nonAMP75	97	51-100
nonAMP76	171	151-200
nonAMP77	251	>200
nonAMP78	213	>200
nonAMP79	165	151-200
nonAMP80	218	>200
nonAMP81	218	>200
nonAMP82	125	101-150
nonAMP83	249	>200
nonAMP84	73	51-100
nonAMP85	142	101-150
nonAMP86	122	101-150
nonAMP87	223	>200
nonAMP88	239	>200
nonAMP89	242	>200
nonAMP90	218	>200
nonAMP91	236	>200
nonAMP92	85	51-100
nonAMP93	44	0-50
nonAMP94	173	151-200
nonAMP95	96	51-100
nonAMP96	193	151-200
nonAMP97	226	>200
nonAMP98	209	>200
nonAMP99	131	101-150
nonAMP100	198	151-200
nonAMP101	129	101-150
nonAMP102	94	51-100
nonAMP103	144	101-150
nonAMP104	238	>200
nonAMP105	189	151-200
nonAMP106	86	51-100
nonAMP107	250	>200
nonAMP108	215	>200
nonAMP109	68	51-100
nonAMP110	142	101-150
nonAMP111	186	151-200
nonAMP112	124	101-150
nonAMP113	211	>200
nonAMP114	220	>200
nonAMP115	96	51-100
nonAMP116	234	>200
nonAMP117	134	101-150
nonAMP118	86	51-100
nonAMP119	117	101-150
nonAMP120	238	>200
nonAMP121	90	51-100
nonAMP122	208	>200
nonAMP123	214	>200
nonAMP124	225	>200
nonAMP125	181	151-200
nonAMP126	165	151-200
nonAMP127	114	101-150
nonAMP128	146	101-150
nonAMP129	164	151-200
nonAMP130	205	>200
nonAMP131	133	101-150
nonAMP132	182	151-200
nonAMP133	71	51-100
nonAMP134	199	151-200
nonAMP135	61	51-100
nonAMP136	189	151-200
nonAMP137	110	101-150
nonAMP138	196	151-200
nonAMP139	136	101-150
nonAMP140	92	51-100
nonAMP141	204	>200
nonAMP142	156	151-200
nonAMP143	176	151-200
nonAMP144	146	101-150
nonAMP145	75	51-100
nonAMP146	147	101-150
nonAMP147	232	>200
nonAMP148	146	101-150
nonAMP149	156	151-200
nonAMP150	139	101-150
nonAMP151	197	151-200
nonAMP152	228	>200
nonAMP153	208	>200
nonAMP154	141	101-150
nonAMP155	64	51-100
nonAMP156	203	>200
nonAMP157	246	>200
nonAMP158	155	151-200
nonAMP159	216	>200
nonAMP160	175	151-200
nonAMP161	173	151-200
nonAMP162	75	51-100
nonAMP163	225	>200
nonAMP164	150	101-150
nonAMP165	121	101-150
nonAMP166	97	51-100
nonAMP167	197	151-200
nonAMP168	176	151-200
nonAMP169	29	0-50
nonAMP170	19	0-50
nonAMP171	160	151-200
nonAMP172	142	101-150
nonAMP173	162	151-200
nonAMP174	122	101-150
nonAMP175	92	51-100
nonAMP176	169	151-200
nonAMP177	233	>200
nonAMP178	103	101-150
nonAMP179	194	151-200
nonAMP180	120	101-150
nonAMP181	137	101-150
nonAMP182	189	151-200
nonAMP183	58	51-100
nonAMP184	93	51-100
nonAMP185	180	151-200
nonAMP186	198	151-200
nonAMP187	215	>200
nonAMP188	118	101-150
nonAMP189	204	>200
nonAMP190	230	>200
nonAMP191	206	>200
nonAMP192	215	>200
nonAMP193	235	>200
nonAMP194	190	151-200
